Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1501	b	sp|P54725|RD23A_HUMAN	P54725	RD23A_HUMAN	RAD23A	363	12.20	Homo sapiens OX=9606	UV excision repair protein RAD23 homolog A 	1:Experimental evidence at protein level	0.9984	0.9986	2	2	1	0	3	1	0	10929383	455411	     0			tr|A0A494C0B4|A0A494C0B4_HUMAN, tr|K7ELW1|K7ELW1_HUMAN, tr|K7ENJ0|K7ENJ0_HUMAN
1501	a	sp|P54727|RD23B_HUMAN	P54727	RD23B_HUMAN	RAD23B	409	36.70	Homo sapiens OX=9606	UV excision repair protein RAD23 homolog B 	1:Experimental evidence at protein level	1.0000	0.9990	11	13	7	0	18	13	0	24868180	17960731	     0			
1502	a	sp|P54819|KAD2_HUMAN	P54819	KAD2_HUMAN	AK2	239	65.10	Homo sapiens OX=9606	Adenylate kinase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	14	18	9	0	52	22	0	119988042	57487422	     0			tr|F8W1A4|F8W1A4_HUMAN
1502	b	sp|P30085|KCY_HUMAN	P30085	KCY_HUMAN	CMPK1	196	53.60	Homo sapiens OX=9606	UMP-CMP kinase 	1:Experimental evidence at protein level	1.0000	0.9990	9	14	7	0	34	13	0	73717134	57173270	     0			
1503	a	sp|P54868|HMCS2_HUMAN	P54868	HMCS2_HUMAN	HMGCS2	508	24.40	Homo sapiens OX=9606	Hydroxymethylglutaryl-CoA synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	10	13	13	0	19	19	0	21872421	21872421	     0			
1504	a	sp|P54920|SNAA_HUMAN	P54920	SNAA_HUMAN	NAPA	295	57.40	Homo sapiens OX=9606	Alpha-soluble NSF attachment protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	12	8	0	17	3	0	19503530	3231716	     0			tr|M0R0Y2|M0R0Y2_HUMAN
1505	a	sp|P55010|IF5_HUMAN	P55010	IF5_HUMAN	EIF5	431	8.80	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	5	5	0	33594684	33594684	     0			
1506	a	sp|P55036|PSMD4_HUMAN	P55036	PSMD4_HUMAN	PSMD4	377	20.20	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	0	0	17	0	0	126759724	     0	     0			
1506	b	tr|Q5VWC4|Q5VWC4_HUMAN	Q5VWC4	Q5VWC4_HUMAN	PSMD4	380	20.80	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 4 	1:Experimental evidence at protein level	0.9956	0.9990	5	5	1	0	13	1	0	126759724	1093305	     0			
1507	a	sp|P55072|TERA_HUMAN	P55072	TERA_HUMAN	VCP	806	44.20	Homo sapiens OX=9606	Transitional endoplasmic reticulum ATPase 	1:Experimental evidence at protein level	1.0000	0.9990	33	43	42	0	105	100	0	83383254	83383254	     0	7M(15.9949), N-term(42.0106)		
1508	a	sp|P55084|ECHB_HUMAN	P55084	ECHB_HUMAN	HADHB	474	61.00	Homo sapiens OX=9606	Trifunctional enzyme subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	33	51	14	0	140	44	0	308100512	215983168	     0	20M(15.9949)		
1509	a	sp|P55145|MANF_HUMAN	P55145	MANF_HUMAN	MANF	182	29.10	Homo sapiens OX=9606	Mesencephalic astrocyte-derived neurotrophic factor 	1:Experimental evidence at protein level	1.0000	0.9990	6	9	9	0	18	18	0	28909048	28909048	     0			tr|A8K878|A8K878_HUMAN
1510	a	sp|P55157|MTP_HUMAN	P55157	MTP_HUMAN	MTTP	894	2.90	Homo sapiens OX=9606	Microsomal triglyceride transfer protein large subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	835082	835082	     0			tr|E9PBP6|E9PBP6_HUMAN
1511	a	sp|P55196|AFAD_HUMAN	P55196	AFAD_HUMAN	AFDN	1824	3.50	Homo sapiens OX=9606	Afadin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	1	1	0	680829	680829	     0			tr|A8MQ02|A8MQ02_HUMAN, tr|J3KN01|J3KN01_HUMAN, tr|Q5TIG5|Q5TIG5_HUMAN
1512	a	sp|P55263|ADK_HUMAN	P55263	ADK_HUMAN	ADK	362	15.50	Homo sapiens OX=9606	Adenosine kinase 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	3	0	6	0	0	10997546	     0	     0			
1513	a	sp|P55265|DSRAD_HUMAN	P55265	DSRAD_HUMAN	ADAR	1226	17.70	Homo sapiens OX=9606	Double-stranded RNA-specific adenosine deaminase 	1:Experimental evidence at protein level	1.0000	0.9990	16	17	8	0	15	4	0	14660451	2055619	     0			
1514	a	sp|P55735|SEC13_HUMAN	P55735	SEC13_HUMAN	SEC13	322	10.90	Homo sapiens OX=9606	Protein SEC13 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	7907906	7907906	     0	N-term(42.0106)		
1515	a	sp|P55769|NH2L1_HUMAN	P55769	NH2L1_HUMAN	SNU13	128	25.00	Homo sapiens OX=9606	NHP2-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	4	0	7	2	0	40265996	7870336	     0			
1516	a	sp|P55786|PSA_HUMAN	P55786	PSA_HUMAN	NPEPPS	919	33.30	Homo sapiens OX=9606	Puromycin-sensitive aminopeptidase 	1:Experimental evidence at protein level	1.0000	0.9990	23	27	23	0	46	34	0	30159624	30159624	     0			tr|E9PLK3|E9PLK3_HUMAN
1517	a	sp|P55884|EIF3B_HUMAN	P55884	EIF3B_HUMAN	EIF3B	814	17.90	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit B 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	12	0	20	19	0	24887484	24887484	     0	N-term(42.0106)		
1518	a	sp|P55957|BID_HUMAN	P55957	BID_HUMAN	BID	195	26.70	Homo sapiens	BH3-interacting domain death agonist 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	8	8	0	6713738	6713738	     0			
1519	a	sp|P56192|SYMC_HUMAN	P56192	SYMC_HUMAN	MARS	900	9.30	Homo sapiens OX=9606	Methionine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	5	0	8	6	0	61057860	11168384	     0			
1520	a	sp|P56199|ITA1_HUMAN	P56199	ITA1_HUMAN	ITGA1	1179	3.40	Homo sapiens OX=9606	Integrin alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	4	4	0	7099302	7099302	     0			
1521	a	sp|P56537|IF6_HUMAN	P56537	IF6_HUMAN	EIF6	245	17.10	Homo sapiens OX=9606	Eukaryotic translation initiation factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	3	5	5	0	15	15	0	27833788	27833788	     0			
1522	a	sp|P56556|NDUA6_HUMAN	P56556	NDUA6_HUMAN	NDUFA6	128	47.70	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	0	11	11	0	33018908	33018908	     0			tr|A0A2Y9D025|A0A2Y9D025_HUMAN
1523	a	sp|P56962|STX17_HUMAN	P56962	STX17_HUMAN	STX17	302	9.60	Homo sapiens OX=9606	Syntaxin-17 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	4761639	4761639	     0			
1524	a	sp|P57088|TMM33_HUMAN	P57088	TMM33_HUMAN	TMEM33	247	14.00	Homo sapiens OX=9606	Transmembrane protein 33 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	7	7	0	15501788	15501788	     0			tr|D6RAA6|D6RAA6_HUMAN
1525	a	sp|P57105|SYJ2B_HUMAN	P57105	SYJ2B_HUMAN	SYNJ2BP	145	37.20	Homo sapiens OX=9606	Synaptojanin-2-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	1	1	0	1502971	1502971	     0			tr|A0A087WYV9|A0A087WYV9_HUMAN, tr|A0A087X1F5|A0A087X1F5_HUMAN
1526	a	sp|P57740|NU107_HUMAN	P57740	NU107_HUMAN	NUP107	925	12.30	Homo sapiens OX=9606	Nuclear pore complex protein Nup107 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	0	4	4	0	3837717	3837717	     0			
1527	a	sp|P59998|ARPC4_HUMAN	P59998	ARPC4_HUMAN	ARPC4	168	35.10	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	2	0	12	0	0	53443589	     0	     0			tr|F8WCF6|F8WCF6_HUMAN
1528	a	sp|P60174|TPIS_HUMAN	P60174	TPIS_HUMAN	TPI1	286	46.90	Homo sapiens OX=9606	Triosephosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	13	24	15	0	81	52	0	344598376	204754520	     0	14M(15.9949)		
1529	a	sp|P60228|EIF3E_HUMAN	P60228	EIF3E_HUMAN	EIF3E	445	30.30	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit E 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	1	0	27	2	0	18119426	5048488	     0			
1530	a	sp|P60468|SC61B_HUMAN	P60468	SC61B_HUMAN	SEC61B	96	37.50	Homo sapiens OX=9606	Protein transport protein Sec61 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	9	9	0	20735165	20735165	     0			
1531	a	sp|P60660|MYL6_HUMAN	P60660	MYL6_HUMAN	MYL6	151	46.90	Homo sapiens OX=9606	Myosin light polypeptide 6 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	2	0	40	7	0	125235484	35328370	     0			tr|B7Z6Z4|B7Z6Z4_HUMAN, tr|F8W1R7|F8W1R7_HUMAN, tr|G3V1V0|G3V1V0_HUMAN, tr|G8JLA2|G8JLA2_HUMAN, tr|J3KND3|J3KND3_HUMAN
1532	a	sp|P60842|IF4A1_HUMAN	P60842	IF4A1_HUMAN	EIF4A1	406	53.70	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-I 	1:Experimental evidence at protein level	1.0000	0.9990	21	31	5	0	103	15	0	168410012	32887052	     0			
1532	b	sp|Q14240|IF4A2_HUMAN	Q14240	IF4A2_HUMAN	EIF4A2	407	44.70	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-II 	1:Experimental evidence at protein level	1.0000	0.9990	17	21	10	0	62	20	0	168410012	31639118	     0			
1532	c	sp|P38919|IF4A3_HUMAN	P38919	IF4A3_HUMAN	EIF4A3	411	44.50	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-III 	1:Experimental evidence at protein level	1.0000	0.9990	17	21	17	0	44	30	0	69008349	22721944	     0	N-term(42.0106)		
1533	a	sp|P60866|RS20_HUMAN	P60866	RS20_HUMAN	RPS20	119	23.50	Homo sapiens OX=9606	40S ribosomal protein S20 	1:Experimental evidence at protein level	1.0000	0.9990	4	8	8	0	24	24	0	106522723	106522723	     0			
1534	a	sp|P60900|PSA6_HUMAN	P60900	PSA6_HUMAN	PSMA6	246	39.40	Homo sapiens OX=9606	Proteasome subunit alpha type-6 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	6	0	23	3	0	45865794	10895124	     0			tr|G3V5Z7|G3V5Z7_HUMAN
1535	a	sp|P60953|CDC42_HUMAN	P60953	CDC42_HUMAN	CDC42	191	25.70	Homo sapiens OX=9606	Cell division control protein 42 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	3	0	10	5	0	25878228	9416668	     0			
1536	a	sp|P60983|GMFB_HUMAN	P60983	GMFB_HUMAN	GMFB	142	22.50	Homo sapiens OX=9606	Glia maturation factor beta 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|G3V4P8|G3V4P8_HUMAN
1537	a	sp|P61011|SRP54_HUMAN	P61011	SRP54_HUMAN	SRP54	504	13.10	Homo sapiens OX=9606	Signal recognition particle 54 kDa protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	2	2	0	2766440	2766440	     0			
1538	a	sp|P61086|UBE2K_HUMAN	P61086	UBE2K_HUMAN	UBE2K	200	33.00	Homo sapiens OX=9606	Ubiquitin-conjugating enzyme E2 K 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	0	10	10	0	10994046	10994046	     0			
1539	a	sp|P61088|UBE2N_HUMAN	P61088	UBE2N_HUMAN	UBE2N	152	49.30	Homo sapiens OX=9606	Ubiquitin-conjugating enzyme E2 N 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	2	0	13	3	0	61552425	35701236	     0			
1540	a	sp|P61158|ARP3_HUMAN	P61158	ARP3_HUMAN	ACTR3	418	37.90	Homo sapiens OX=9606	Actin-related protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	11	13	13	0	27	27	0	40567056	40567056	     0			tr|B4DXW1|B4DXW1_HUMAN
1541	a	sp|P61160|ARP2_HUMAN	P61160	ARP2_HUMAN	ACTR2	394	29.90	Homo sapiens OX=9606	Actin-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	13	13	0	21	21	0	63659702	63659702	     0			
1542	a	sp|P61163|ACTZ_HUMAN	P61163	ACTZ_HUMAN	ACTR1A	376	28.00	Homo sapiens OX=9606	Alpha-centractin 	1:Experimental evidence at protein level	1.0000	0.9990	8	9	6	0	12	7	0	26668125	17021418	     0			tr|R4GMT0|R4GMT0_HUMAN
1543	a	sp|P61201|CSN2_HUMAN	P61201	CSN2_HUMAN	COPS2	443	22.30	Homo sapiens OX=9606	COP9 signalosome complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	4	0	13	7	0	40571626	16180834	     0			
1544	a	sp|P61204|ARF3_HUMAN	P61204	ARF3_HUMAN	ARF3	181	53.00	Homo sapiens OX=9606	ADP-ribosylation factor 3 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	6	0	20	10	0	255375594	36017612	     0			sp|P84077|ARF1_HUMAN
1544	b	sp|P84085|ARF5_HUMAN	P84085	ARF5_HUMAN	ARF5	180	58.90	Homo sapiens OX=9606	ADP-ribosylation factor 5 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	4	0	19	10	0	38874134	15684406	     0			
1544	c	sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	45.00	Homo sapiens OX=9606	ADP-ribosylation factor 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	0	0	13	0	0	33278422	     0	     0			
1545	a	sp|P61221|ABCE1_HUMAN	P61221	ABCE1_HUMAN	ABCE1	599	16.40	Homo sapiens OX=9606	ATP-binding cassette sub-family E member 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	5	0	10	10	0	16891785	16891785	     0			
1546	b	sp|P62834|RAP1A_HUMAN	P62834	RAP1A_HUMAN	RAP1A	184	35.90	Homo sapiens OX=9606	Ras-related protein Rap-1A 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	2	0	25	9	0	63295908	17280852	     0			
1546	c	sp|P01111|RASN_HUMAN	P01111	RASN_HUMAN	NRAS	189	32.30	Homo sapiens OX=9606	GTPase NRas 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	4	0	13	3	0	24281861	3895783	     0			
1546	a	sp|P61224|RAP1B_HUMAN	P61224	RAP1B_HUMAN	RAP1B	184	39.70	Homo sapiens OX=9606	Ras-related protein Rap-1b 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	0	0	27	0	0	62250023	     0	     0			
1547	a	sp|P61247|RS3A_HUMAN	P61247	RS3A_HUMAN	RPS3A	264	57.20	Homo sapiens OX=9606	40S ribosomal protein S3a 	1:Experimental evidence at protein level	1.0000	0.9990	21	29	0	0	46	0	0	106777722	     0	     0			
1548	b	sp|Q9UNX3|RL26L_HUMAN	Q9UNX3	RL26L_HUMAN	RPL26L1	145	42.80	Homo sapiens OX=9606	60S ribosomal protein L26-like 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	12	1	0	26	0	0	59965063	     0	     0			
1548	a	sp|P61254|RL26_HUMAN	P61254	RL26_HUMAN	RPL26	145	49.00	Homo sapiens OX=9606	60S ribosomal protein L26 	1:Experimental evidence at protein level	1.0000	0.9990	11	14	1	0	34	3	0	59965063	5166363	     0			
1549	a	sp|P61289|PSME3_HUMAN	P61289	PSME3_HUMAN	PSME3	254	36.80	Homo sapiens OX=9606	Proteasome activator complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	4	0	6	0	0	8446864	     0	     0			tr|B3KQ25|B3KQ25_HUMAN, tr|K7ESG5|K7ESG5_HUMAN
1550	a	sp|P61313|RL15_HUMAN	P61313	RL15_HUMAN	RPL15	204	37.30	Homo sapiens OX=9606	60S ribosomal protein L15 	1:Experimental evidence at protein level	1.0000	0.9990	9	12	1	0	30	2	0	48351141	1948361	     0			
1551	a	sp|P61326|MGN_HUMAN	P61326	MGN_HUMAN	MAGOH	146	42.50	Homo sapiens OX=9606	Protein mago nashi homolog 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	1	0	2	0	0	6481882	     0	     0			
1551	b	sp|Q96A72|MGN2_HUMAN	Q96A72	MGN2_HUMAN	MAGOHB	148	42.60	Homo sapiens OX=9606	Protein mago nashi homolog 2 	1:Experimental evidence at protein level	0.9993	0.9990	5	5	0	0	2	0	0	6481882	     0	     0			
1552	a	sp|P61353|RL27_HUMAN	P61353	RL27_HUMAN	RPL27	136	49.30	Homo sapiens OX=9606	60S ribosomal protein L27 	1:Experimental evidence at protein level	1.0000	0.9990	8	13	13	0	27	27	0	93525356	93525356	     0			
1553	a	sp|P61513|RL37A_HUMAN	P61513	RL37A_HUMAN	RPL37A	92	37.00	Homo sapiens OX=9606	60S ribosomal protein L37a 	1:Experimental evidence at protein level	1.0000	0.9990	3	5	3	0	9	5	0	15563050	13671086	     0			
1554	a	sp|P61604|CH10_HUMAN	P61604	CH10_HUMAN	HSPE1	102	88.20	Homo sapiens OX=9606	10 kDa heat shock protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	16	21	7	0	59	12	0	765288960	257618210	     0			
1555	a	sp|P61619|S61A1_HUMAN	P61619	S61A1_HUMAN	SEC61A1	476	10.30	Homo sapiens OX=9606	Protein transport protein Sec61 subunit alpha isoform 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	5	0	9	8	0	25346817	12003919	     0			tr|B4DR61|B4DR61_HUMAN
1556	a	sp|P61803|DAD1_HUMAN	P61803	DAD1_HUMAN	DAD1	113	37.60	Homo sapiens OX=9606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	8228641	8228641	     0	N-term(42.0106)		tr|F5GXX5|F5GXX5_HUMAN
1557	a	sp|P61916|NPC2_HUMAN	P61916	NPC2_HUMAN	NPC2	151	13.20	Homo sapiens OX=9606	NPC intracellular cholesterol transporter 2 	1:Experimental evidence at protein level	1.0000	0.9981	3	3	3	0	6	6	0	14830847	14830847	     0			tr|E7EMS2|E7EMS2_HUMAN, tr|G3V3D1|G3V3D1_HUMAN, tr|G3V3E8|G3V3E8_HUMAN, tr|H0YIZ1|H0YIZ1_HUMAN, tr|J3KMY5|J3KMY5_HUMAN
1558	a	sp|P61923|COPZ1_HUMAN	P61923	COPZ1_HUMAN	COPZ1	177	42.40	Homo sapiens OX=9606	Coatomer subunit zeta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	1	1	0	1204822	1204822	     0	N-term(42.0106)		tr|F8VUC5|F8VUC5_HUMAN, tr|F8VVA7|F8VVA7_HUMAN, tr|F8VXB1|F8VXB1_HUMAN, tr|F8VYZ4|F8VYZ4_HUMAN, tr|F8W156|F8W156_HUMAN
1559	a	sp|P61956|SUMO2_HUMAN	P61956	SUMO2_HUMAN	SUMO2	95	23.20	Homo sapiens OX=9606	Small ubiquitin-related modifier 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	7	7	0	31665897	31665897	     0			
1560	a	sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	58.80	Homo sapiens OX=9606	Ubiquitin-fold modifier 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	3	3	0	25014663	25014663	     0			
1561	a	sp|P61964|WDR5_HUMAN	P61964	WDR5_HUMAN	WDR5	334	40.60	Homo sapiens OX=9606	WD repeat-containing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	1071425	1071425	     0			tr|V9GZ59|V9GZ59_HUMAN
1562	a	sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	50.50	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein K 	1:Experimental evidence at protein level	1.0000	0.9990	27	37	9	0	129	22	0	281132416	163764696	     0			
1562	b	tr|Q5T6W2|Q5T6W2_HUMAN	Q5T6W2	Q5T6W2_HUMAN	HNRNPK	379	51.50	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein K (Fragment) 	1:Experimental evidence at protein level	1.0000	0.9990	21	29	1	0	108	1	0	270173604	1122940	     0			
1563	a	sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	59.80	Homo sapiens OX=9606	40S ribosomal protein S7 	1:Experimental evidence at protein level	1.0000	0.9990	11	14	8	0	23	14	0	48298208	42709308	     0			
1564	a	sp|P62140|PP1B_HUMAN	P62140	PP1B_HUMAN	PPP1CB	327	23.50	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	5	0	18	5	0	25947264	13308793	     0			
1564	b	sp|P62136|PP1A_HUMAN	P62136	PP1A_HUMAN	PPP1CA	330	20.30	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit 	1:Experimental evidence at protein level	0.9997	0.9990	6	7	1	0	21	2	0	25324258	1386748	     0			
1564	c	sp|P36873|PP1G_HUMAN	P36873	PP1G_HUMAN	PPP1CC	323	12.80	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit 	1:Experimental evidence at protein level	0.9996	0.9990	3	4	1	0	13	0	0	19713530	     0	     0			tr|F8VYE8|F8VYE8_HUMAN
1564	d	tr|E9PMD7|E9PMD7_HUMAN	E9PMD7	E9PMD7_HUMAN	PPP1CA	253	28.50	Homo sapiens OX=9606	Serine/threonine-protein phosphatase (Fragment) 	1:Experimental evidence at protein level	0.9982	0.9990	6	7	1	0	23	4	0	25324258	7360629	     0	5C(57.0215)		
1565	a	sp|P62195|PRS8_HUMAN	P62195	PRS8_HUMAN	PSMC5	406	45.60	Homo sapiens OX=9606	26S proteasome regulatory subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	15	17	8	0	24	15	0	21272948	17325647	     0			
1565	b	sp|P62191|PRS4_HUMAN	P62191	PRS4_HUMAN	PSMC1	440	43.90	Homo sapiens OX=9606	26S proteasome regulatory subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	13	15	14	0	22	21	0	21802744	21577890	     0			
1566	a	sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	60.00	Homo sapiens OX=9606	40S ribosomal protein S15a 	1:Experimental evidence at protein level	1.0000	0.9990	10	12	3	0	16	3	0	83003166	16205168	     0			
1567	a	sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	63.00	Homo sapiens OX=9606	40S ribosomal protein S16 	1:Experimental evidence at protein level	1.0000	0.9990	12	15	5	0	34	9	0	199899966	55180602	     0			
1568	e	sp|P27348|1433T_HUMAN	P27348	1433T_HUMAN	YWHAQ	245	26.90	Homo sapiens OX=9606	14-3-3 protein theta 	1:Experimental evidence at protein level	1.0000	0.9990	10	14	7	0	38	24	0	335218102	73162013	     0			
1568	g	sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	25.40	Homo sapiens OX=9606	14-3-3 protein sigma 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	7	0	27	18	0	303494385	29505940	     0			
1568	c	sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	39.80	Homo sapiens OX=9606	14-3-3 protein beta/alpha 	1:Experimental evidence at protein level	1.0000	0.9990	13	18	6	0	33	12	0	316552958	35035352	     0			
1568	f	sp|Q04917|1433F_HUMAN	Q04917	1433F_HUMAN	YWHAH	246	35.80	Homo sapiens OX=9606	14-3-3 protein eta 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	7	0	32	23	0	309154012	42886440	     0	N-term(42.0106)		
1568	a	sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	56.10	Homo sapiens OX=9606	14-3-3 protein epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	21	30	17	0	88	50	0	385708000	112273892	     0	4M(15.9949)		
1568	b	sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	38.90	Homo sapiens OX=9606	14-3-3 protein gamma 	1:Experimental evidence at protein level	1.0000	0.9990	13	19	13	0	32	23	0	359854300	124564748	     0	3M(15.9949), N-term(42.0106)		
1568	d	sp|P63104|1433Z_HUMAN	P63104	1433Z_HUMAN	YWHAZ	245	40.00	Homo sapiens OX=9606	14-3-3 protein zeta/delta 	1:Experimental evidence at protein level	1.0000	0.9990	12	16	0	0	46	0	0	419730416	     0	     0			
1569	a	sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	42.00	Homo sapiens OX=9606	40S ribosomal protein S14 	1:Experimental evidence at protein level	1.0000	0.9990	10	15	15	0	42	42	0	90737620	90737620	     0	12M(15.9949)		tr|A0A2R8Y811|A0A2R8Y811_HUMAN
1570	a	sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	30.10	Homo sapiens OX=9606	40S ribosomal protein S23 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	4	0	15	10	0	57528205	54399512	     0			
1571	a	sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	57.90	Homo sapiens OX=9606	40S ribosomal protein S18 	1:Experimental evidence at protein level	1.0000	0.9990	12	14	14	0	44	44	0	189781824	189781824	     0			
1572	a	sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	33.90	Homo sapiens OX=9606	40S ribosomal protein S29 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	6	6	0	27562242	27562242	     0			
1573	a	sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	41.20	Homo sapiens OX=9606	40S ribosomal protein S13 	1:Experimental evidence at protein level	1.0000	0.9990	9	13	12	0	39	38	0	169216252	169216252	     0			tr|J3KMX5|J3KMX5_HUMAN
1574	a	sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	52.50	Homo sapiens OX=9606	40S ribosomal protein S11 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	0	17	17	0	52649406	52649406	     0	N-term(42.0106)		tr|M0QZC5|M0QZC5_HUMAN
